Time, sine
  0.002685,	65535 
  0.005255,	63040 
  0.007825,	55937 
  0.010394,	45307 
  0.012964,	32767 
  0.015533,	20227 
  0.018103,	9597 
  0.020674,	2494 
  0.023244,	0 
  0.025814,	2494 
  0.028384,	9597 
  0.030954,	20227 
  0.033525,	32767 
  0.036095,	45307 
  0.038665,	55937 
  0.041268,	63040 
  0.043805,	65535 
  0.046375,	63040 
  0.048945,	55937 
  0.051514,	45307 
  0.054083,	32767 
  0.056653,	20227 
  0.059222,	9597 
  0.061829,	2494 
  0.064368,	0 
  0.066929,	2494 
  0.069498,	9597 
  0.072108,	20227 
  0.074635,	32767 
  0.077204,	45307 
  0.079772,	55937 
  0.082369,	63040 
  0.084909,	65535 
  0.087509,	63040 
  0.090068,	55937 
  0.092615,	45307 
  0.095184,	32767 
  0.097752,	20227 
  0.100329,	9597 
  0.102889,	2494 
  0.105459,	0 
  0.108028,	2494 
  0.110628,	9597 
  0.113165,	20227 
  0.115734,	32767 
  0.118303,	45307 
  0.120909,	55937 
  0.123468,	63040 
  0.126008,	65535 
  0.128609,	63040 
  0.131168,	55937 
  0.133715,	45307 
  0.136283,	32767 
  0.138852,	20227 
  0.141429,	9597 
  0.144028,	2494 
  0.146559,	0 
  0.149129,	2494 
  0.151698,	9597 
  0.154309,	20227 
  0.156868,	32767 
  0.159405,	45307 
  0.161974,	55937 
  0.164542,	63040 
  0.167112,	65535 
  0.169709,	63040 
  0.172268,	55937 
  0.174819,	45307 
  0.177389,	32767 
  0.179959,	20227 
  0.182528,	9597 
  0.185098,	2494 
  0.187668,	0 
  0.190268,	2494 
  0.192805,	9597 
  0.195374,	20227 
  0.197943,	32767 
  0.200513,	45307 
  0.203082,	55937 
  0.205669,	63040 
  0.208228,	65535 
  0.210789,	63040 
  0.213358,	55937 
  0.215928,	45307 
  0.218529,	32767 
  0.221108,	20227 
  0.223635,	9597 
  0.226204,	2494 
  0.228773,	0 
 
